bugid,no_of_comments
1,4
6,6
12,5
14,3
28,6
32,5
38,5
27,5
71,4
65,7
77,5
34,8
23,4
24,5
29,12
30,4
31,9
33,4
36,4
39,4
41,8
42,5
45,6
50,7
52,6
55,5
93,6
59,5
61,6
62,5
94,10
92,6
74,4
73,7
81,6
64,6
76,8
63,4
79,8
72,8
96,5
95,8
98,6
99,6
122,7
112,7
135,3
109,4
120,8
141,3
154,6
155,5
172,7
181,5
188,6
124,4
185,4
190,4
192,6
106,3
144,6
100,6
104,3
105,4
108,3
110,7
114,6
116,4
119,3
128,3
129,3
132,5
133,19
134,3
136,4
139,5
146,6
147,5
148,5
151,7
153,3
158,3
160,5
162,5
164,6
166,6
170,3
171,4
176,7
182,3
183,5
184,6
187,5
194,3
197,5
200,4
203,6
204,4
233,6
225,17
234,4
262,3
278,5
284,3
290,8
286,4
300,3
305,6
216,6
249,8
321,8
336,6
341,5
350,4
352,5
358,4
306,3
205,3
296,3
334,3
376,4
353,3
302,4
232,8
381,4
389,4
275,5
345,5
283,6
411,5
207,3
209,4
219,5
228,6
238,6
245,5
246,7
252,11
418,5
424,9
430,5
428,3
432,6
434,4
299,6
288,7
289,4
292,5
308,3
319,3
326,3
329,5
335,4
360,5
366,5
372,5
385,6
392,3
396,3
413,3
420,5
422,7
421,3
423,5
457,5
481,3
445,6
451,5
459,5
461,5
469,3
473,7
474,3
501,7
512,8
525,7
574,6
560,6
588,7
485,5
495,6
592,7
596,14
627,5
633,4
617,4
620,4
687,4
625,4
515,25
506,5
705,7
557,3
667,4
499,6
728,5
744,6
616,4
621,3
638,10
702,3
738,25
779,19
787,3
791,3
793,3
794,6
795,5
801,4
790,6
804,11
814,3
810,14
799,3
826,5
830,25
891,6
785,3
877,18
902,14
915,25
906,4
944,5
917,9
982,8
983,8
994,3
993,25
1022,8
1016,25
1029,25
1031,20
976,5
867,5
1121,7
1134,25
974,10
1138,4
1207,16
1049,7
1151,25
1277,3
1166,3
940,3
1055,16
1281,25
929,14
1128,25
1365,7
1424,5
1416,25
1461,25
1476,15
697,3
978,17
1517,6
1522,6
1527,10
1526,4
1537,7
1492,3
989,9
1544,6
1200,5
1265,25
950,10
1063,25
1147,25
1160,5
1273,25
1580,25
1549,4
1318,25
1205,4
1181,25
1354,13
1312,4
1590,23
1597,25
1611,10
1604,10
1674,3
1644,3
1614,7
1725,25
1731,9
1774,7
1807,6
1813,7
1613,4
1766,8
1543,10
881,3
1848,4
1851,3
1846,6
1786,25
1676,25
1438,3
1332,25
1275,4
1474,9
1885,3
1887,6
1400,6
1434,5
1918,5
1926,5
1946,25
1951,3
1994,7
1988,5
968,7
2014,9
2066,7
2074,6
