dev_id,comments
307,9379
1646,5649
159,4366
573,3789
1441,3642
102,3322
1623,3316
205,3108
1664,3065
333,3034
440,2842
10,2829
1942,2808
1004,2230
1696,2131
446,2023
1647,1947
1917,1855
3412,1782
104,1711
1007,1691
254,1670
231,1561
389,1545
108,1462
1655,1409
485,1407
158,1403
57,1379
315,1300
1645,1295
1618,1289
576,1289
974,1253
1923,1231
7861,1231
316,1198
329,1197
4165,1092
630,1062
8223,988
103,966
13665,963
1,947
105,908
6277,844
246,820
141,798
19,776
2921,773
1673,772
1689,770
2919,767
1607,756
3062,755
348,734
1649,732
3407,726
1629,724
1710,722
7471,714
1632,709
1663,695
259,680
6,677
8433,675
1772,664
981,660
1611,641
4894,638
232,635
1610,634
83,620
45,613
2206,606
2845,602
1612,598
1670,595
345,594
4617,591
1631,558
5037,553
5297,553
59363,543
439,523
59293,522
12,519
1608,510
2586,507
2820,499
2016,495
1616,491
1967,491
976,487
1737,475
7231,475
382,472
12092,472
24,466
8222,463
1893,444
3959,441
127,429
1754,417
1855,406
39,404
1703,403
5273,401
1034,392
7609,388
2675,384
1087,382
22,381
2008,380
616,376
15696,372
133,372
282,370
13459,365
1928,363
1126,362
14309,361
1779,360
4891,360
59384,359
15552,358
2942,356
948,349
3498,348
3161,346
4135,345
4478,345
256,344
222,341
53,337
7474,337
8435,335
14576,323
1654,315
7244,300
1684,299
386,295
7280,294
4414,286
8241,285
362,284
8257,281
7331,274
7849,269
59373,267
6979,254
660,251
1469,251
3413,250
7,250
5795,249
32447,248
1158,246
4553,246
1341,246
59357,246
874,246
109,244
1672,242
59355,241
4230,239
1693,236
59286,232
1662,231
8423,229
3456,227
12070,225
12863,224
2962,223
87,220
977,219
1648,217
1686,216
5878,216
527,212
4139,212
266,211
3539,206
124,206
11809,203
7298,202
983,201
5246,201
218,200
1032,198
96,196
6966,194
4898,192
1343,190
929,190
7114,189
3416,186
46,184
4657,183
3098,182
3294,180
139,179
3558,177
8731,176
305,176
4028,175
116,173
1702,170
20,169
2523,169
8432,168
7201,167
3160,167
7919,167
8166,166
1615,166
32847,166
13436,165
391,162
7909,162
8188,161
539,161
59701,161
5636,160
867,160
148,159
1969,159
693,158
2038,156
264,154
1570,154
2434,153
22993,153
59359,152
59376,150
2929,150
2949,149
21,149
1661,148
175,148
3591,148
62,148
1508,146
12964,146
27,145
212,144
575,144
1940,143
3169,143
7255,143
3627,142
7252,142
2611,138
324,137
59561,134
23369,134
32638,132
235,131
15582,130
4694,129
3374,129
8424,129
4893,128
8066,128
2215,127
881,125
12998,124
3946,124
3004,123
35575,122
12076,122
15687,121
281,121
12045,121
29284,121
1678,120
42,120
4592,119
12864,119
3146,118
5132,118
8441,117
64165,115
5055,113
3167,113
276,113
31563,113
16435,112
1815,112
4754,111
12343,111
60670,110
3932,110
296,109
15683,109
14363,108
59492,108
10812,107
7232,107
4890,107
574,107
5175,106
13456,106
743,103
7254,103
4908,103
18,103
2243,101
1715,101
783,101
434,100
12083,100
3682,100
2999,99
33051,99
8496,98
784,97
3474,97
2854,96
2027,95
60777,95
2289,94
33108,94
1891,93
7777,93
955,93
322,93
325,93
5260,92
637,92
64156,92
11713,91
6974,90
2007,90
8832,90
3631,90
1676,89
3086,89
3101,89
4045,88
1036,88
1660,87
690,86
357,86
2914,86
4227,86
26420,86
59367,86
24661,85
2633,85
984,85
210,84
1204,84
8256,84
59487,84
59559,83
4923,83
7206,82
12107,82
309,82
59354,82
2979,81
20901,81
59458,81
3533,80
8500,80
1015,79
3079,79
42958,79
1995,79
61026,79
6985,79
649,78
3,78
8285,78
15708,78
3479,77
81,77
8186,77
59477,76
2955,76
13518,76
59476,76
15672,76
3404,75
8495,74
9498,74
4483,74
8422,73
3494,73
59539,72
3071,72
33022,72
12930,72
364,72
880,72
233,72
8202,72
8030,71
5369,71
4204,71
1937,70
41,70
7284,70
24712,70
26,70
7027,70
2353,69
4687,69
875,69
1037,69
59382,68
4064,68
2699,68
59308,68
59763,67
59282,67
5019,67
5,67
8436,66
4892,66
8093,66
7029,65
59310,65
12071,65
1820,64
3443,64
64166,64
13516,64
6988,64
536,64
15152,64
11927,64
3771,63
3770,63
59350,63
2944,63
8444,63
12073,63
2939,62
32585,62
3773,62
11782,61
5063,61
469,61
4525,61
4415,61
1854,60
5286,60
15574,60
260,60
165,60
64146,60
2970,60
12122,60
2514,60
890,60
4751,59
3525,59
112,58
713,57
1830,57
7234,57
4065,57
3186,57
19462,57
15673,57
3743,57
1745,56
59368,56
3297,56
59542,56
99,56
17,56
1476,55
59488,55
10366,55
2973,55
12114,55
2982,54
9264,54
6981,54
15681,54
59869,54
16421,54
8197,54
9184,53
3343,53
59548,53
3345,52
1953,52
1846,52
15575,52
1943,52
12074,52
4887,52
2638,52
4606,52
8295,52
1303,52
1667,51
5291,51
4233,51
63106,51
11706,50
16422,50
8142,50
1818,50
5077,50
1325,50
26168,50
269,50
15669,50
4643,50
59294,50
2021,49
5313,49
879,49
59544,49
66279,48
6435,48
402,48
23280,48
60807,48
1740,48
2200,48
3084,48
1504,48
1444,48
3073,48
251,47
4058,47
3384,47
7248,47
53086,47
998,47
7028,46
24019,46
6379,46
61051,45
2001,45
2957,45
4535,45
4123,45
4935,45
10371,45
3493,45
3766,45
13542,45
2842,45
16431,45
59274,45
59313,45
62027,44
3701,44
863,44
7958,44
14493,43
6079,43
2003,42
2836,42
60499,41
59331,41
154,41
15567,41
1931,41
4530,41
5174,41
8429,40
60778,40
7866,40
7198,40
8918,40
12123,40
6845,40
36,40
15675,40
5390,40
2882,40
878,40
59375,40
59372,40
64305,39
2715,39
16406,39
11644,39
1706,39
1640,39
1707,39
3077,39
3277,39
9601,39
8449,39
20850,39
40,39
1898,38
10772,38
4805,38
5143,38
15691,38
23458,38
7999,38
2083,38
1609,37
1759,37
60087,37
9,37
3182,37
5142,37
3092,37
4047,37
4274,37
13364,37
1638,36
1882,36
1657,36
8431,36
59525,36
4683,36
3521,36
7033,36
7009,35
8240,35
5357,35
16403,35
1705,35
2685,35
59397,35
15581,35
3035,35
59524,35
60066,34
2005,34
3426,34
2010,34
4644,34
1042,34
63203,34
12365,34
59358,34
4251,33
3509,33
10540,33
1011,33
16436,33
2201,33
2339,33
26237,33
1653,32
3033,32
3178,32
18788,32
2674,32
25707,32
5131,32
12093,32
12094,32
3010,32
6975,32
22918,32
13462,32
27060,32
4109,32
3487,32
4943,32
59582,32
59311,32
57691,32
1674,31
2469,31
6266,31
14381,31
2922,31
4653,31
7202,31
6080,31
49,31
7462,31
59364,31
28320,31
59999,31
275,31
31801,31
1415,30
15699,30
979,30
1814,30
2899,30
1832,30
8917,30
11906,30
43,30
1072,30
36085,30
3109,30
12901,30
15746,30
1320,30
6480,30
1921,29
185,29
4551,29
59565,29
1587,29
3261,29
847,29
4603,28
23889,28
4982,28
16428,28
59333,28
1691,28
9525,28
2034,28
4243,28
19796,28
24358,28
5346,28
13460,28
6463,28
5464,27
62614,27
147,27
1157,27
12145,27
7225,27
5129,27
4498,27
9359,27
4092,27
7132,27
59329,27
30164,27
29370,27
7920,26
19253,26
18876,26
16408,26
21110,26
19216,26
59270,26
1786,26
1656,26
5789,26
59356,26
2392,26
4012,26
64147,26
5195,26
4048,26
3466,26
44,26
4325,26
15698,26
19254,26
892,25
4997,25
59291,25
4268,25
59279,25
1700,25
1622,25
7568,25
6202,25
2941,25
4199,25
43696,25
8476,25
12077,25
32515,25
1033,25
12098,25
15692,25
2838,25
5433,24
5156,24
3905,24
2139,24
2307,24
3290,24
11726,24
238,24
4899,24
4873,24
13615,24
7253,24
5897,24
59466,24
19257,24
61977,24
2669,24
66211,24
901,24
60621,24
219,24
2539,24
5100,24
335,24
3537,24
59508,23
16413,23
56391,23
59579,23
16423,23
1722,23
64722,23
861,23
2911,23
4412,23
5093,23
7247,23
786,23
33129,23
59457,23
15259,22
3667,22
4807,22
8225,22
4674,22
16424,22
29238,22
5413,22
1633,22
1834,22
1642,22
1990,22
22298,22
3251,22
25017,22
59365,22
7338,22
936,22
33009,22
7297,22
15671,22
4203,21
1683,21
5575,21
1142,21
3339,21
3303,21
3998,21
1955,21
19618,21
5189,21
8485,21
3177,21
8462,21
9057,21
1202,21
59760,21
13701,21
7931,21
56302,21
52,21
252,21
886,21
59649,21
6940,21
59583,21
8861,21
59494,21
5220,20
12862,20
7984,20
59609,20
921,20
12900,20
253,20
3142,20
1748,20
1804,20
64661,20
10790,20
186,20
59574,20
7207,20
2627,20
132,20
3170,20
11737,20
4555,20
59338,20
33072,20
3531,20
3482,19
10565,19
12351,19
7131,19
7411,19
7578,19
7453,19
70,19
836,19
59345,19
8031,19
16411,19
59283,19
10047,19
5147,19
3151,19
3467,19
2105,19
8480,19
22437,19
2966,19
7212,19
12086,19
12097,19
14818,19
4114,19
7390,19
2742,19
59335,19
28978,19
6859,19
4126,19
1812,18
5488,18
2644,18
9932,18
427,18
59602,18
15580,18
2961,18
7264,18
4173,18
2972,18
7109,18
32629,18
53815,18
6096,18
9379,18
9277,18
33059,18
37359,18
62995,18
19428,18
3644,18
755,18
19501,18
7991,18
23226,18
18729,18
56404,18
30581,18
