issue.id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,commenters.nonowners,comments.by.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct.edges,total.edges
15,RESOLVED,None,enhancement,4,None,5552.9869,19,4,3,8,370,67,56,4,0,0,0,0,0,0,17,0,0,10,6,0,6
17,RESOLVED,Charley Wang,enhancement,4,None,18153.1039,69,7,7,69,22,3,3,7,5,15,8,23,0,13,28,0,7,45,15,6,21
227,RESOLVED,Steffen Pingel,trivial,1,Lucas Panjer,8036.4122,22,4,4,22,2387,947,931,4,5,0,0,26,0,0,0,0,0,2,4,2,6
246,RESOLVED,Steffen Pingel,enhancement,4,Eugene Kuleshov,45289.5589,49,7,7,49,2387,947,931,7,1,0,0,10,0,0,0,12,23,21,9,12,21
714,RESOLVED,Steffen Pingel,major,5,Kamesh Sampath,7442.6375,33,6,6,33,2387,947,931,6,11,0,7,35,0,0,0,0,2,1,8,7,15
805,RESOLVED,Steffen Pingel,blocker,7,Markus Knauer,4843.6825,13,5,5,13,2387,947,931,5,1,2,1,10,0,0,9,0,0,1,5,5,10
911,RESOLVED,Mylyn Inbox,normal,3,Alvaro Sanchez-Leon,17590.1947,12,5,5,12,1920,0,0,5,3,0,0,18,0,0,0,0,5,3,6,4,10
915,RESOLVED,None,enhancement,4,None,16077.38,23,4,4,23,4,3,3,4,12,0,0,24,0,0,0,0,0,3,6,0,6
964,RESOLVED,David Green,enhancement,4,David Green,6953.6783,9,4,3,7,13,7,5,4,1,0,0,8,0,0,0,0,0,1,5,1,6
966,RESOLVED,None,major,5,Andrew R. Thompson,21603.9594,35,10,10,35,370,67,56,10,22,19,17,27,0,4,4,2,3,0,21,24,45
993,RESOLVED,Mylyn Inbox,normal,3,Alexander Adolf,5908.2183,24,11,11,24,1920,0,0,11,22,12,11,14,0,4,7,0,1,1,8,47,55
1069,RESOLVED,None,normal,3,Kilian Matt,3860.5961,5,3,3,5,22,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,3
1070,RESOLVED,None,normal,3,Kilian Matt,6465.2297,5,3,3,5,22,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
1080,RESOLVED,Steffen Pingel,enhancement,4,Steffen Pingel,7731.5608,25,11,11,25,2387,947,931,11,15,6,6,63,0,1,24,0,11,21,20,35,55
1210,RESOLVED,Steffen Pingel,normal,3,Tomasz Zarna,1960.6347,12,5,5,12,2387,947,931,5,1,4,0,6,0,0,8,0,0,6,8,2,10
1211,RESOLVED,Sascha Scholz,major,5,Sascha Scholz,6820.8381,14,4,4,14,10,10,10,4,3,0,0,16,0,0,0,0,0,0,2,4,6
1407,CLOSED,None,major,5,Sopot Cela,1892.6864,12,9,9,12,116,100,100,9,23,0,15,0,0,0,0,1,0,0,6,30,36
