issue_id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,comments.by.nonowners,commenters.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct,total.edges
4,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,10.8953,6,3,2,2,56,309,44,3,5,0,0,0,0,0,0,0,0,0,1,2,3
11,Fix Released,Jay Pipes,Low,3,Jay Pipes,142.3775,9,3,3,2,181,2242,1440,3,12,0,0,0,0,0,0,0,0,0,2,1,3
14,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,24.7139,6,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,2,1,3
31,Fix Released,None,Undecided,1,justinsb,1786.8669,7,3,7,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
32,Fix Released,Soren Hansen,Medium,4,justinsb,1791.9464,9,4,9,4,67,367,220,4,8,0,0,0,0,0,0,0,0,0,3,3,6
38,Fix Released,Todd Willey,High,5,Michael Gundlach,1535.4017,7,3,4,2,19,66,30,3,7,0,0,0,0,0,0,0,0,0,3,0,3
39,Fix Released,Michael Gundlach,Medium,4,Michael Gundlach,1535.3522,7,3,2,2,10,52,37,3,7,0,0,0,0,0,0,0,0,0,3,0,3
41,Fix Released,Anne Gentle,Low,3,Joseph Heck,1399.1206,8,3,7,2,411,2225,1444,3,7,0,0,0,0,0,0,0,0,0,1,2,3
47,Fix Released,None,Undecided,1,Cory Wright,1429.7756,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,3
52,Fix Released,Michael Gundlach,High,5,Rick Clark,70.1278,6,3,3,2,10,52,37,3,5,0,0,0,0,0,0,0,0,0,2,1,3
58,Fix Released,Todd Willey,Medium,4,Todd Willey,422.6111,4,3,2,2,19,66,30,3,3,0,0,0,0,0,0,0,0,0,0,3,3
59,Fix Released,Matt Dietz,High,5,Michael Gundlach,525.8022,5,3,5,3,23,92,54,3,4,0,0,0,0,0,0,0,0,0,3,0,3
60,Fix Released,Eric Day,Critical,6,Mike Mayo,120.5864,11,3,7,2,10,99,78,3,11,0,0,0,0,0,0,0,0,0,3,0,3
61,Fix Released,David Pravec,Undecided,1,Mika Kohonen,311.4586,10,4,5,3,2,14,6,4,10,0,0,0,0,0,0,0,0,0,2,4,6
95,Fix Released,Rick Harris,High,5,Rick Harris,188.8222,5,3,3,2,163,755,118,3,3,0,0,0,0,0,0,0,0,0,2,1,3
96,Fix Released,Rick Harris,High,5,Rick Harris,239.3342,7,3,4,2,163,755,118,3,5,0,0,0,0,0,0,0,0,0,2,1,3
100,Fix Released,Rick Clark,Critical,6,Rick Clark,119.5072,8,3,3,2,2,21,16,3,6,0,0,0,0,0,0,0,0,0,3,0,3
101,Fix Released,justinsb,High,5,justinsb,2346.1172,8,4,5,3,29,294,211,4,8,0,0,0,0,0,0,0,0,0,1,5,6
102,Fix Released,Soren Hansen,High,5,Soren Hansen,485.9214,9,3,5,2,67,367,220,3,7,0,0,0,0,0,0,0,0,0,2,1,3
103,Fix Released,Jay Pipes,High,5,Jay Pipes,289.9942,8,3,2,2,181,2242,1440,3,4,0,0,0,0,0,0,0,0,0,3,0,3
105,Fix Released,None,Undecided,1,Ewan Mellor,2299.4614,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
106,Fix Released,None,Undecided,1,Soren Hansen,2169.7986,5,4,5,4,15804,0,0,4,6,0,0,0,0,0,0,0,0,0,3,3,6
111,Fix Released,Vish Ishaya,Undecided,1,OZAWA Tsuyoshi,1830.5194,7,4,4,3,370,3863,2311,4,10,0,0,0,0,0,0,0,0,0,2,4,6
112,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,1215.3419,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
113,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,1215.5675,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
114,Fix Released,None,Undecided,1,Vish Ishaya,1340.2406,6,4,6,4,15804,0,0,4,5,0,0,0,0,0,0,0,0,0,5,1,6
115,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,1730.1333,7,3,2,2,56,309,44,3,4,0,0,0,0,0,0,0,0,0,3,0,3
116,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,1737.7842,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
117,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,2210.0897,7,3,2,2,56,309,44,3,4,0,0,0,0,0,0,0,0,0,3,0,3
118,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,2211.4886,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
119,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,2214.5425,8,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,2,1,3
120,Fix Released,Vish Ishaya,Low,3,Vish Ishaya,146.1911,7,3,2,2,370,3863,2311,3,6,0,0,0,0,0,0,0,0,0,3,0,3
