"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Stars",1,808,63.6782178217822,398.245816400919,3,5.52314814814815,2.9652,0,7234,7234,11.5433659533444,164.486202099011,14.0102389309399
"ElapsedTime",2,808,346.462787128713,281.212071499351,238.9295,314.796603395062,213.4817979,0.245,1356.253,1356.008,0.96839284902136,0.125396016955368,9.89300615277312
"Interest",3,808,9.19183168316832,6.87697396143871,6,8.00462962962963,2.9652,3,25,22,1.3646401273745,0.54572562158621,0.241931099722121
"Contributors",4,808,6.24381188118812,5.232981984047,4,4.93672839506173,1.4826,3,25,22,2.06240521759119,3.29562809490939,0.184095663779666
"CommunityInterest",5,808,6.57425742574257,6.76381000930335,4,5.22685185185185,2.9652,0,25,25,1.59089319808039,1.31892433974128,0.237950005778401
"ExternalContributors",6,808,5.78217821782178,5.34134273507629,4,4.50617283950617,1.4826,2,25,23,2.05907744641809,3.33778835531889,0.187907781698133
"DeveloperExperience",7,808,8564.03341584158,8734.47176940768,331,8500.60802469136,483.3276,1,17623,17622,0.0738777091165827,-1.99662010558414,307.277644573564
"OwnerEngagement",8,808,65.404702970297,101.95201790818,1,40.5524691358025,1.4826,0,488,488,1.91261701068572,3.0442474809462,3.58665947402471
"OwnerSpectrum",9,808,24.0507425742574,56.420453368507,0,8.40740740740741,0,0,486,486,2.88669940939957,9.94482038809368,1.98486462313257
"TotalVertices",10,808,6.24381188118812,5.232981984047,4,4.93672839506173,1.4826,3,25,22,2.06240521759119,3.29562809490939,0.184095663779666
"C1C1",11,808,22.5977722772277,55.6723050219419,1,6.05864197530864,1.4826,0,279,279,2.86166789012594,7.26012064894575,1.95854485614571
"C1C2",12,808,1.0049504950495,3.90309828286768,0,0.0910493827160494,0,0,49,49,6.24504531481432,49.9327199677973,0.137310518433336
"C1C3",13,808,0.787128712871287,2.63927681004982,0,0.0972222222222222,0,0,23,23,4.77177685140426,26.6149604873161,0.0928494341707325
"C1C4",14,808,10.1757425742574,14.5395689029656,4,6.84876543209877,5.9304,0,90,90,2.18985975459518,4.76616582650204,0.511500249078174
"C2C2",15,808,0.00742574257425743,0.0992877082116725,0,0,0,0,2,2,14.948907045775,247.198866941719,0.00349292938598152
"C2C3",16,808,0.0284653465346535,0.206298880369631,0,0,0,0,3,3,8.74638706047154,89.7677921753045,0.00725756928543403
"C2C4",17,808,0.422029702970297,1.1849363653576,0,0.12037037037037,0,0,12,12,4.54635953852594,27.2134017387749,0.0416859158663621
"C3C3",18,808,0.00866336633663366,0.116428450917092,0,0,0,0,2,2,14.6759025125189,228.331596226919,0.00409593861010085
"C3C4",19,808,0.488861386138614,1.21937058564008,0,0.185185185185185,0,0,11,11,3.86149886159954,19.9147743406585,0.0428973075086348
"C4C4",20,808,3.10024752475248,3.73019428194226,2,2.41358024691358,2.9652,0,26,26,2.50263881696633,8.78296477920382,0.131227776907078
"RepeatInteractions",21,808,7.74381188118812,10.4792217293932,3,5.2391975308642,2.9652,0,68,68,2.76632821797191,8.26881494631892,0.368657733974269
"total.distinct",22,808,22.3019801980198,53.1953487269844,2,7.1712962962963,2.9652,0,300,300,3.12592900694294,9.49598708570304,1.87140583776889
"TotalEdges",23,808,30.0457920792079,59.9797291831053,6,12.945987654321,4.4478,3,300,297,2.79160153209713,7.09400287381458,2.11007950934103
