"Stars","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
1,651.275,4,4,1,4,17623,0,0,4,3,0,0,2,0,0,0,0,0,1,1,5,6
1,650.702,6,6,2,6,17623,0,0,6,4,0,0,6,0,0,0,0,2,3,9,6,15
1,590.568,5,4,4,4,17623,0,0,4,0,0,0,1,0,0,0,0,1,4,4,2,6
2,228.628,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
1,577.108,4,4,2,4,17623,0,0,4,0,0,0,1,0,0,0,0,0,3,4,2,6
1,577.107,5,4,3,4,17623,0,0,4,1,0,0,6,0,0,0,0,0,2,3,3,6
10,794.821,5,5,5,5,17623,0,0,5,3,0,1,5,0,0,0,0,0,1,1,9,10
2,841.438,6,4,4,4,17623,0,0,4,1,0,0,6,0,0,0,0,0,3,2,4,6
8,834.849,12,10,9,10,17623,0,0,10,12,6,3,20,0,0,5,0,4,5,28,17,45
1,577.106,4,4,2,4,17623,0,0,4,0,0,0,0,0,0,0,0,0,4,4,2,6
5,935.67,9,6,5,6,17623,0,0,6,1,0,0,11,0,0,0,0,0,8,10,5,15
2,221.609,5,4,3,3,90,120,103,4,0,0,0,3,0,0,0,0,1,3,5,1,6
1,577.106,4,4,2,4,17623,0,0,4,0,0,0,1,0,0,0,0,0,3,4,2,6
10,578.389,8,7,7,7,17623,0,0,7,5,0,1,10,0,0,0,0,2,3,8,13,21
1,577.105,4,4,3,4,17623,0,0,4,0,0,0,2,0,0,0,0,0,2,3,3,6
1,583.143,5,4,3,4,17623,0,0,4,0,0,0,2,0,0,0,0,0,3,4,2,6
1,577.105,4,4,2,4,17623,0,0,4,0,0,0,1,0,0,0,0,0,3,4,2,6
6,916.993,8,7,4,7,17623,0,0,7,4,0,0,16,0,0,0,0,0,3,10,11,21
2,834.846,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
2,834.845,6,4,3,4,17623,0,0,4,0,0,0,5,0,0,0,0,0,5,5,1,6
5,834.844,7,5,5,5,17623,0,0,5,1,0,0,10,0,0,0,0,0,5,7,3,10
1,834.845,6,4,2,4,17623,0,0,4,0,0,0,0,0,0,0,0,0,8,6,0,6
1,577.102,5,5,4,5,17623,0,0,5,1,0,0,6,0,0,0,0,0,3,7,3,10
2,834.793,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
5,377.702,6,5,5,5,17623,0,0,5,5,0,0,6,0,0,1,0,0,1,7,3,10
2,834.793,5,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,2,3,3,0,3
2,209.972,4,3,2,2,90,120,103,3,0,0,0,0,0,0,0,0,1,3,3,0,3
2,577.045,6,6,4,6,17623,0,0,6,3,0,0,7,0,0,0,0,0,3,10,5,15
3,836.124,7,5,4,5,17623,0,0,5,1,2,0,8,0,0,2,0,0,3,5,5,10
1,579.927,4,4,2,4,17623,0,0,4,0,0,0,1,0,0,0,0,0,3,4,2,6
8,1024.202,8,6,6,6,17623,0,0,6,1,0,2,8,0,0,0,0,2,6,6,9,15
2,57.999,7,4,4,3,3,5,0,4,3,0,2,7,0,0,0,0,1,0,6,0,6
1,577.049,4,4,2,4,17623,0,0,4,0,0,0,0,0,0,1,0,0,3,4,2,6
1,834.788,8,6,5,6,17623,0,0,6,1,0,0,12,0,0,0,0,0,8,12,3,15
2,216.174,5,5,5,5,17623,0,0,5,2,0,1,3,0,0,0,0,0,4,4,6,10
6,1026.634,8,6,7,6,17623,0,0,6,1,0,0,12,0,0,2,0,1,3,10,5,15
2,834.787,6,3,2,3,17623,0,0,3,0,0,0,0,0,0,1,0,1,4,3,0,3
4,834.791,6,4,3,4,17623,0,0,4,1,0,0,5,0,0,0,0,0,4,5,1,6
1,577.099,6,5,4,5,17623,0,0,5,1,0,0,6,0,0,0,0,0,3,6,4,10
14,1202.618,10,6,10,6,17623,0,0,6,12,0,0,14,0,0,0,0,0,2,5,10,15
1,576.67,8,3,1,2,90,120,103,3,0,0,0,0,0,0,0,0,0,2,2,1,3
1,576.736,5,5,2,4,27,16,5,5,0,0,0,4,0,0,0,0,0,4,3,7,10
1,576.431,6,5,3,4,27,16,5,5,0,0,0,5,0,0,0,0,0,7,7,3,10
2,834.031,6,4,3,4,17623,0,0,4,0,0,0,1,0,0,0,0,1,8,5,1,6
1,821.455,6,4,2,4,17623,0,0,4,0,0,0,0,0,0,0,0,0,8,6,0,6
1,563.714,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
1,563.713,4,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
4,47.7,3,3,3,3,17623,0,0,3,1,0,0,2,0,0,0,0,0,0,0,3,3
2,201.686,3,3,2,2,27,16,5,3,0,0,0,1,0,0,0,0,0,2,2,1,3
3,209.954,4,4,3,3,27,16,5,4,1,0,0,3,0,0,0,0,0,2,3,3,6
