"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"issue.id",1,13248,251065.119263285,130925.6734818,242603.5,254801.356226415,173119.4955,15,469870,469855,-0.144067929077251,-1.11247687517127,1137.49542046189
"ElapsedTime",2,13248,18426.1093137379,21559.5079777796,9359.0989,14522.8218964057,12588.19551003,0.2608,111801.0583,111800.7975,1.41792970413711,1.30168959046683,187.311173889398
"Interest",3,13248,17.1888586956522,11.7818213330289,14,15.336320754717,7.413,3,244,241,4.46201354051615,44.3300840033815,0.102361648824236
"Contributors",4,13248,6.19867149758454,5.77660345499721,5,5.24330188679245,1.4826,3,162,159,9.92838295610506,168.678908632248,0.0501877118607841
"ExternalContributors",5,13248,6.12718900966184,5.79874783456831,5,5.19,1.4826,2,162,160,9.83342239160167,166.498621499726,0.0503801044579059
"CommunityInterest",6,13248,16.7813254830918,11.8919657561374,14,15.0097169811321,7.413,2,241,239,4.32196339822492,42.4548866052663,0.103318594651157
"DeveloperExperience",7,13248,2723.44150060386,4185.36085088877,955,1626.95235849057,1273.5534,1,15529,15528,2.19172422661798,3.7436839539251,36.3628360600205
"OwnerEngagement",8,13248,689.413345410628,1372.97172367323,109,366.02641509434,161.6034,0,9379,9379,3.83843240848564,18.8109405943451,11.9285164366106
"OwnerSpectrum",9,13248,678.823445048309,1368.25987632289,95,356.192735849057,140.847,0,9379,9379,3.87536746484507,19.1662733031156,11.8875794328864
"TotalVertices",10,13248,6.19844504830918,5.77678765467071,5,5.24330188679245,1.4826,0,162,162,9.92747039894993,168.658662529186,0.0501893122060753
"C1C1",11,13248,12.8338617149758,150.736661026945,0,1.88764150943396,0,0,8558,8558,38.547874622789,1848.38675227424,1.30961527295639
"C1C2",12,13248,2.61186594202899,13.9970831723894,0,0.674716981132075,0,0,619,619,22.5792166778408,734.444234632851,0.121608066508288
"C1C3",13,13248,4.80525362318841,22.0967996658515,0,1.92849056603774,0,0,1173,1173,28.8850566411229,1239.4860557219,0.191979218119233
"C1C4",14,13248,12.4990187198068,45.9676088176164,5,6.75452830188679,7.413,0,1806,1806,22.2583458097057,673.996643425054,0.399371209092088
"C2C2",15,13248,0.226675724637681,1.24818257850972,0,0,0,0,44,44,12.0368163757378,234.79334801385,0.0108443357914251
"C2C3",16,13248,0.837107487922705,2.76027528457439,0,0.183679245283019,0,0,63,63,6.8325054257074,73.1662254704278,0.0239815493166356
"C2C4",17,13248,2.00324577294686,5.97823775644523,0,0.725377358490566,0,0,218,218,11.5195672974125,286.842745390118,0.0519395309532941
"C3C3",18,13248,0.789402173913043,2.68229718809651,0,0.156603773584906,0,0,73,73,7.59799041505155,101.217498381018,0.0233040677709534
"C3C4",19,13248,4.32593599033816,8.79610858630542,1,2.40301886792453,1.4826,0,172,172,5.56264658045514,56.4070548264725,0.0764214761606616
"C4C4",20,13248,8.7133152173913,16.7871437686159,3,5.43584905660377,4.4478,0,498,498,8.41383138539704,152.525623846343,0.145848393608534
"RepeatInteractions",21,13248,16.2241847826087,113.964609524141,7,8.20349056603774,4.4478,0,8664,8664,49.6427441610981,3170.46403610438,0.990135990757069
"TotalDistinctEdges",22,13248,16.5713315217391,144.666945062487,2,3.70528301886792,2.9652,-1,7322,7323,30.1063555648503,1188.17343652353,1.25688097013048
"TotalEdges",23,13248,32.7955163043478,243.940513623476,10,12.1909433962264,7.413,0,13041,13041,33.926052348629,1500.29494986124,2.11937971929087
