"issue.id","ElapsedTime","Interest","Contributors","ExternalContributors","CommunityInterest","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","TotalDistinctEdges","TotalEdges"
15,5552.9869,19,4,3,8,370,67,56,4,0,0,0,0,0,0,17,0,0,10,6,0,6
17,18153.1039,69,7,7,69,22,3,3,7,5,15,8,23,0,13,28,0,7,45,15,6,21
227,8036.4122,22,4,4,22,2387,947,931,4,5,0,0,26,0,0,0,0,0,2,4,2,6
246,45289.5589,49,7,7,49,2387,947,931,7,1,0,0,10,0,0,0,12,23,21,9,12,21
714,7442.6375,33,6,6,33,2387,947,931,6,11,0,7,35,0,0,0,0,2,1,8,7,15
805,4843.6825,13,5,5,13,2387,947,931,5,1,2,1,10,0,0,9,0,0,1,5,5,10
911,17590.1947,12,5,5,12,1920,0,0,5,3,0,0,18,0,0,0,0,5,3,6,4,10
915,16077.38,23,4,4,23,4,3,3,4,12,0,0,24,0,0,0,0,0,3,6,0,6
964,6953.6783,9,4,3,7,13,7,5,4,1,0,0,8,0,0,0,0,0,1,5,1,6
966,21603.9594,35,10,10,35,370,67,56,10,22,19,17,27,0,4,4,2,3,0,21,24,45
993,5908.2183,24,11,11,24,1920,0,0,11,22,12,11,14,0,4,7,0,1,1,8,47,55
1069,3860.5961,5,3,3,5,22,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,3
1070,6465.2297,5,3,3,5,22,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
1080,7731.5608,25,11,11,25,2387,947,931,11,15,6,6,63,0,1,24,0,11,21,20,35,55
1210,1960.6347,12,5,5,12,2387,947,931,5,1,4,0,6,0,0,8,0,0,6,8,2,10
1211,6820.8381,14,4,4,14,10,10,10,4,3,0,0,16,0,0,0,0,0,0,2,4,6
1407,1892.6864,12,9,9,12,116,100,100,9,23,0,15,0,0,0,0,1,0,0,6,30,36
1681,9012.4406,9,4,4,9,47,6,6,4,8,0,2,1,0,0,0,0,0,0,1,5,6
1824,13884.1117,12,5,5,12,21,0,0,5,8,6,8,0,0,0,0,1,0,0,8,2,10
1895,25349.5483,6,4,4,6,23,0,0,4,8,0,0,0,0,0,0,0,0,0,2,4,6
2356,461.35,12,3,2,5,376,125,110,3,6,0,0,0,0,0,0,0,0,0,1,2,3
2388,842.4375,14,3,2,11,20,6,3,3,12,0,0,0,0,0,0,0,0,0,3,0,3
2389,1070.6183,10,4,4,10,1665,0,0,4,21,0,0,0,0,0,0,0,0,0,6,0,6
2981,4229.9336,18,3,3,18,520,40,30,3,27,0,0,0,0,0,0,0,0,0,3,0,3
3127,12024.3481,19,7,7,19,558,12,12,7,29,2,0,0,0,0,0,0,0,0,14,7,21
3182,49349.1739,17,4,3,7,520,40,30,4,23,1,1,0,0,0,0,0,0,0,3,3,6
3847,2952.5053,7,4,4,7,163,0,0,4,0,0,0,0,0,0,3,0,2,5,6,0,6
3860,1871.9594,11,3,2,4,517,176,127,3,0,0,0,0,0,0,0,0,4,3,3,0,3
3895,5129.3047,7,3,3,7,163,0,0,3,0,0,0,1,0,0,0,0,2,2,3,0,3
3899,3333.0394,7,3,3,7,163,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0,3
3908,2953.6594,7,3,3,7,163,0,0,3,0,0,0,0,0,0,1,0,3,3,2,1,3
3917,1945.0133,7,3,3,7,163,0,0,3,0,0,0,4,0,0,0,0,0,3,2,1,3
3942,3172.3978,19,5,5,19,1003,1197,1133,5,0,0,0,10,0,0,0,0,0,19,10,0,10
