"","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
"ElapsedTime",1,0.0308250867557987,0.0917711957330807,0.051131508500047,0.109703002478193,0.138717416374378,-0.0383846736331202,-0.0289550575933532,0.0919451352418479,0.0505215188592226,0.0435049370522956,0.0223252927560125,0.041654560015233,0.01522483324866,0.00906958143468496,0.0153843071765951,0.00732587501747421,0.0203223445419824,0.0223764517212872,0.0755274832290662,0.0579157582802879,0.0716971540252897
"Interest",0.0308250867557987,1,0.565880738402287,0.953461273127382,0.556081333777392,-0.0383329675259101,0.0901924237763764,0.0871539406172714,0.56592930089624,0.285734206704536,0.394100925373709,0.480014661449151,0.645340239622715,0.256610354601744,0.375429874467626,0.613129683288714,0.412212325869152,0.746842975797065,0.821934465087272,0.538226087274531,0.504034909803999,0.557680707255354
"Contributors",0.0917711957330807,0.565880738402287,1,0.645052303487556,0.985207292395418,-0.0232157054265966,0.0265625286877992,0.0316893583544298,0.999913723324472,0.454167174649432,0.421062706252656,0.394689178208238,0.668819907437512,0.149723319467828,0.203430149168245,0.337265167583949,0.214833328919135,0.43802094977442,0.448661793804332,0.888446090741811,0.834160725694866,0.921662375697604
"CommunityInterest",0.051131508500047,0.953461273127382,0.645052303487556,1,0.651495150981445,0.0108337019997937,0.0315968994952958,0.0333480575710324,0.645066314988046,0.34095150426373,0.459279761827935,0.555111461024983,0.714193644933077,0.303017345635686,0.414244762198258,0.558246454847475,0.460897233546151,0.740623210817851,0.770560951995697,0.620363620963304,0.572994711426884,0.638711909957011
"ExternalContributors",0.109703002478193,0.556081333777392,0.985207292395418,0.651495150981445,1,0.0729491714850869,0.014234609079677,0.0224655893748229,0.985122355317846,0.450253891576954,0.417161131282332,0.390124293759671,0.660023533828432,0.147124405058026,0.200621661716413,0.3316136798844,0.212153160595925,0.432603150825614,0.441887984966617,0.877376631425678,0.825159992978594,0.910891918917617
"DeveloperExperience",0.138717416374378,-0.0383329675259101,-0.0232157054265966,0.0108337019997937,0.0729491714850869,1,-0.0555303962061629,-0.0404117863226513,-0.0232073694724394,0.00029742197999119,-0.00468199828963459,0.00192435947426166,-0.0309969707895428,0.000371994108648598,0.00175912522859882,-0.0136261366423352,0.00494963619558544,-0.00488382875247366,-0.0165856102259957,-0.0111006948550061,0.00482724444148552,-0.00370827627757163
"OwnerEngagement",-0.0383846736331202,0.0901924237763764,0.0265625286877992,0.0315968994952958,0.014234609079677,-0.0555303962061629,1,0.994328314303551,0.0266531833046987,-0.0133884779194332,0.00395927236259259,0.00118810218069286,0.0433233941380683,-0.00243468033069881,0.00170105681367003,0.0315888299296992,0.00141195325034924,0.0377571132623596,0.104250176498665,0.0343582780621995,0.011915563933339,0.025227544738269
"OwnerSpectrum",-0.0289550575933532,0.0871539406172714,0.0316893583544298,0.0333480575710324,0.0224655893748229,-0.0404117863226513,0.994328314303551,1,0.0317583413231691,-0.0078508052771515,0.00909583686785751,0.00456671207873488,0.050954059355086,-0.00118109778555812,0.00227769876669037,0.0301250239848285,0.000810910703943831,0.0343484367440005,0.0944317439493457,0.0379389426186749,0.0133128041149023,0.0279362339256873
"TotalVertices",0.0919451352418479,0.56592930089624,0.999913723324472,0.645066314988046,0.985122355317846,-0.0232073694724394,0.0266531833046987,0.0317583413231691,1,0.454022437604479,0.421053541572645,0.394731963351369,0.668712342720768,0.14976850123126,0.203488694533611,0.337292473972522,0.214889166547711,0.438116446983786,0.448760606169913,0.8883890381059,0.834400049703629,0.921753142525869
"C1C1",0.0505215188592226,0.285734206704536,0.454167174649432,0.34095150426373,0.450253891576954,0.00029742197999119,-0.0133884779194332,-0.0078508052771515,0.454022437604479,1,0.434724830987829,0.433958765835007,0.597011127276298,0.0346484717108805,0.0809293238296567,0.0764416746416129,0.0987093296924376,0.194298677299867,0.133205264157945,0.675688803541726,0.389103417143897,0.575363543214802
"C1C2",0.0435049370522956,0.394100925373709,0.421062706252656,0.459279761827935,0.417161131282332,-0.00468199828963459,0.00395927236259259,0.00909583686785751,0.421053541572645,0.434724830987829,1,0.489537430677762,0.462709813428887,0.523362873139774,0.457993484698343,0.397137137386479,0.362893750957865,0.230215034702712,0.136541699780954,0.493628648369427,0.389003431940182,0.473960373064335
"C1C3",0.0223252927560125,0.480014661449151,0.394689178208238,0.555111461024983,0.390124293759671,0.00192435947426166,0.00118810218069286,0.00456671207873488,0.394731963351369,0.433958765835007,0.489537430677762,1,0.596996557576321,0.360513707864579,0.520203758241231,0.178827866379914,0.608402484838565,0.554115199748905,0.209097555167821,0.513987514223956,0.362669208086146,0.471811605847436
"C1C4",0.041654560015233,0.645340239622715,0.668819907437512,0.714193644933077,0.660023533828432,-0.0309969707895428,0.0433233941380683,0.050954059355086,0.668712342720768,0.597011127276298,0.462709813428887,0.596996557576321,1,0.146703832593756,0.19492582253266,0.253496348790451,0.241607724382083,0.506306911052894,0.494057627184225,0.77405992783716,0.591895143974674,0.73395041343686
