"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"ElapsedTime",1,25531,1562.67067174807,2191.5131571235,859.5506,1095.45788346144,865.979247,0,27426.6769,27426.6769,3.66447084881134,19.264760690971,13.7154534202064
"Interest",2,25531,15.0982726881047,19.1546864929343,11,12.1221052631579,4.4478,4,956,952,19.9304962891178,772.649275472527,0.119878454536558
"Contributors",3,25531,4.60792761740629,2.07604503861536,4,4.22139534883721,1.4826,3,30,27,3.07241371111218,16.1841601345976,0.0129928031382451
"CommunityInterest",4,25531,11.2822842818534,15.6884805054894,8,8.69507955936352,4.4478,2,616,614,14.5950188736414,405.859071452586,0.0981854126257158
"ExternalContributors",5,25531,3.76315067956602,2.11290007704556,3,3.3896205630355,1.4826,2,30,28,3.01337289802112,15.9407076316558,0.013223458181883
"DeveloperExperience",6,25531,957.485331557714,3569.56902691166,67,94.8704039167687,77.0952,1,15804,15803,3.9147466194151,13.3425841823801,22.3399332829374
"OwnerEngagement",7,25531,976.865105166268,3700.76876037403,242,521.342521419829,327.6546,0,57002,57002,13.7658774077352,204.837126717599,23.1610389318802
"OwnerSpectrum",8,25531,666.303160863264,3516.7774423339,96,270.077062423501,139.3644,0,55005,55005,14.6182158706476,222.511736633321,22.0095403227575
"TotalVertices",9,25531,4.6071834240727,2.07581943913966,4,4.22061199510404,1.4826,2,30,28,3.07335098864543,16.1937607026834,0.0129913912374812
"C1C1",10,25531,1.88606008381967,9.15445124656244,0,0.58203182374541,0,0,546,546,29.8924669065037,1345.16376315986,0.0572925830956817
"C1C2",11,25531,0.760056402021072,3.28392746767595,0,0.136744186046512,0,0,144,144,14.797296787648,378.345519036406,0.0205522627467884
"C1C3",12,25531,1.31373624221535,6.7185281245664,0,0.384088127294982,0,0,381,381,31.1275437952282,1346.82081576609,0.0420475045953121
"C1C4",13,25531,7.78046296658964,16.976710960557,4,4.84944920440636,5.9304,0,512,512,12.1446974478828,265.109572790898,0.106247725527439
"C2C2",14,25531,0.0846030316086326,1.04918705499542,0,0,0,0,87,87,42.1720457024116,2737.99695328988,0.00656627414492057
"C2C3",15,25531,0.309936939406995,3.0496381027452,0,0,0,0,307,307,61.6809918095741,5337.77984601237,0.0190859768332805
"C2C4",16,25531,1.61133523951275,6.83243651862993,0,0.490379436964504,0,0,245,245,18.4985486222515,530.844352333616,0.0427603934355505
"C3C3",17,25531,0.242920371313305,2.68060454576795,0,0,0,0,250,250,56.2958404819235,4613.28475735916,0.0167764024897442
"C3C4",18,25531,2.72378676902589,10.5400103986983,0,1.00244798041616,0,0,430,430,18.3785955190623,534.969265626349,0.0659640218001626
"C4C4",19,25531,5.85069131643884,19.2883888439392,2,2.61811505507956,2.9652,0,1063,1063,22.4204472168942,978.305017116634,0.120715222667024
"RepeatInteractions",20,25531,6.86980533469116,9.14843267048412,4,5.20044063647491,2.9652,0,270,270,9.1677068910273,161.442860211495,0.0572549161989123
"total.distinct",21,25531,3.59410128862951,8.41351632894321,2,2.06310893512852,1.4826,-4,285,289,9.88342975296618,168.464312161614,0.052655486431681
"TotalEdges",22,25531,10.4639066233207,16.4334733938109,6,7.33835985312118,4.4478,1,435,434,8.53216168693062,124.35463463083,0.10284790585554
