"ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
10.8953,6,3,2,2,56,309,44,3,5,0,0,0,0,0,0,0,0,0,1,2,3
142.3775,9,3,3,2,181,2242,1440,3,12,0,0,0,0,0,0,0,0,0,2,1,3
24.7139,6,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,2,1,3
1786.8669,7,3,7,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
1791.9464,9,4,9,4,67,367,220,4,8,0,0,0,0,0,0,0,0,0,3,3,6
1535.4017,7,3,4,2,19,66,30,3,7,0,0,0,0,0,0,0,0,0,3,0,3
1535.3522,7,3,2,2,10,52,37,3,7,0,0,0,0,0,0,0,0,0,3,0,3
1399.1206,8,3,7,2,411,2225,1444,3,7,0,0,0,0,0,0,0,0,0,1,2,3
1429.7756,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,3
70.1278,6,3,3,2,10,52,37,3,5,0,0,0,0,0,0,0,0,0,2,1,3
422.6111,4,3,2,2,19,66,30,3,3,0,0,0,0,0,0,0,0,0,0,3,3
525.8022,5,3,5,3,23,92,54,3,4,0,0,0,0,0,0,0,0,0,3,0,3
120.5864,11,3,7,2,10,99,78,3,11,0,0,0,0,0,0,0,0,0,3,0,3
311.4586,10,4,5,3,2,14,6,4,10,0,0,0,0,0,0,0,0,0,2,4,6
188.8222,5,3,3,2,163,755,118,3,3,0,0,0,0,0,0,0,0,0,2,1,3
239.3342,7,3,4,2,163,755,118,3,5,0,0,0,0,0,0,0,0,0,2,1,3
119.5072,8,3,3,2,2,21,16,3,6,0,0,0,0,0,0,0,0,0,3,0,3
2346.1172,8,4,5,3,29,294,211,4,8,0,0,0,0,0,0,0,0,0,1,5,6
485.9214,9,3,5,2,67,367,220,3,7,0,0,0,0,0,0,0,0,0,2,1,3
289.9942,8,3,2,2,181,2242,1440,3,4,0,0,0,0,0,0,0,0,0,3,0,3
2299.4614,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
2169.7986,5,4,5,4,15804,0,0,4,6,0,0,0,0,0,0,0,0,0,3,3,6
1830.5194,7,4,4,3,370,3863,2311,4,10,0,0,0,0,0,0,0,0,0,2,4,6
1215.3419,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
1215.5675,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
1340.2406,6,4,6,4,15804,0,0,4,5,0,0,0,0,0,0,0,0,0,5,1,6
1730.1333,7,3,2,2,56,309,44,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1737.7842,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
2210.0897,7,3,2,2,56,309,44,3,4,0,0,0,0,0,0,0,0,0,3,0,3
2211.4886,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
2214.5425,8,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,2,1,3
146.1911,7,3,2,2,370,3863,2311,3,6,0,0,0,0,0,0,0,0,0,3,0,3
515.2489,8,4,6,3,67,367,220,4,8,0,0,0,0,0,0,0,0,0,5,1,6
536.1467,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
536.5358,8,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
556.2964,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
560.0461,6,3,2,2,56,309,44,3,5,0,0,0,0,0,0,0,0,0,3,0,3
560.5253,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
605.4083,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
789.5542,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,3
770.9433,7,3,3,2,370,3863,2311,3,6,0,0,0,0,0,0,0,0,0,2,1,3
998.0767,8,3,8,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,2,1,3
2187.6939,8,3,2,2,181,2242,1440,3,4,0,0,0,0,0,0,0,0,0,3,0,3
2349.1175,7,3,4,2,29,294,211,3,5,0,0,0,0,0,0,0,0,0,3,0,3
503.2522,10,4,5,3,181,2242,1440,4,15,0,0,0,0,0,0,0,0,0,4,2,6
119.5581,8,3,2,2,370,3863,2311,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1808.9347,8,5,6,4,370,3863,2311,5,11,0,0,0,0,0,0,0,0,0,6,4,10
1973.5519,6,3,6,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,2,1,3
1978.5353,6,3,6,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,2,1,3
1994.7733,6,3,6,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,3
2299.1206,9,3,5,2,29,294,211,3,6,0,0,0,0,0,0,0,0,0,3,0,3
119.7325,8,3,2,2,370,3863,2311,3,4,0,0,0,0,0,0,0,0,0,3,0,3
2329.4019,11,7,10,6,370,3863,2311,7,36,0,0,0,0,0,0,0,0,0,12,9,21
831.6581,9,3,9,3,23,2061,2019,3,4,0,0,0,0,0,0,0,0,0,3,0,3
142.3828,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3
483.7608,6,3,5,2,370,3863,2311,3,3,0,0,0,0,0,0,0,0,0,2,1,3
550.0472,5,4,5,4,67,367,220,4,6,0,0,0,0,0,0,0,0,0,3,3,6
147.3958,6,4,6,4,15804,0,0,4,8,0,0,0,0,0,0,0,0,0,6,0,6
1996.2878,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.1694,9,3,9,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.1764,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.1181,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.1369,6,3,6,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.1583,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.0747,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1994.0692,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
1975.925,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
842.5447,5,3,5,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,2,1,3
4.9256,7,3,5,2,151,884,593,3,7,0,0,0,0,0,0,0,0,0,3,0,3
161.69,10,3,10,3,15804,0,0,3,10,0,0,0,0,0,0,0,0,0,2,1,3
145.8031,8,3,3,2,9,41,14,3,7,0,0,0,0,0,0,0,0,0,1,2,3
1887.7075,8,4,7,3,163,755,118,4,8,0,0,0,0,0,0,0,0,0,4,2,6
275.6497,7,3,3,2,181,2242,1440,3,1,5,0,0,0,0,0,0,0,0,1,2,3
251.9139,6,4,5,3,19,66,30,4,6,1,0,0,0,0,0,0,0,0,4,2,6
744.8803,11,6,7,5,370,3863,2311,6,15,0,4,0,0,2,0,0,0,0,11,4,15
584.4689,11,6,7,5,370,3863,2311,6,16,0,2,0,0,2,0,0,0,0,8,7,15
307.5419,13,5,6,4,19,572,513,5,5,7,2,0,0,2,0,0,0,0,7,3,10
279.2128,11,6,8,5,19,66,30,6,10,8,6,0,0,0,0,0,0,0,13,2,15
2762.0342,13,4,6,3,67,367,220,4,12,1,0,0,0,2,0,0,0,0,2,4,6
2752.8467,10,5,7,4,73,294,52,5,10,0,4,0,0,2,0,0,0,0,8,2,10
2656.1889,6,3,3,2,10,52,37,3,1,0,4,0,0,0,0,0,0,0,3,0,3
2308.8653,8,4,5,3,370,3863,2311,4,5,0,2,0,0,2,0,0,0,0,4,2,6
1984.1289,9,3,3,2,370,3863,2311,3,2,0,0,0,0,2,0,0,0,0,2,1,3
1486.1108,10,4,7,3,127,400,194,4,8,0,2,0,0,0,0,0,0,0,6,0,6
763.3581,8,4,5,3,370,3863,2311,4,7,0,2,0,0,0,0,0,0,0,4,2,6
670.7183,10,3,9,2,67,335,160,3,7,0,0,0,0,2,0,0,0,0,1,2,3
615.6714,9,5,6,4,370,3863,2311,5,10,0,2,0,0,0,0,0,0,0,5,5,10
599.8011,8,4,7,3,67,367,220,4,3,3,0,0,0,2,0,0,0,0,6,0,6
591.0461,12,4,4,3,161,57002,55005,4,4,6,0,0,0,2,0,0,0,0,5,1,6
571.5217,9,4,4,3,370,3863,2311,4,3,0,0,0,0,2,0,0,0,0,4,2,6
437.1117,11,3,9,2,19,66,30,3,2,6,2,0,0,2,0,0,0,0,3,0,3
413.0336,12,3,3,2,161,57002,55005,3,6,3,2,0,0,0,0,0,0,0,2,1,3
321.0678,9,4,7,3,370,3863,2311,4,1,3,0,0,3,2,0,0,0,0,5,1,6
290.9319,11,3,11,3,6,0,0,3,1,5,6,0,0,0,0,0,0,0,2,1,3
242.3906,11,4,9,3,14,27,18,4,0,3,3,0,1,10,0,0,0,0,6,0,6
233.4397,8,3,4,2,23,2061,2019,3,1,0,6,0,0,0,0,0,0,0,2,1,3
3496.8731,10,3,10,3,15804,0,0,3,2,1,2,0,1,2,0,0,0,0,3,0,3
